编号	名称	品种	类别
001	萝卜	萝卜	根菜类
002	心里美萝卜	萝卜	根菜类
003	白萝卜	萝卜	根菜类
004	葖	萝卜	根菜类
005	芦菔	萝卜	根菜类
006	莱菔	萝卜	根菜类
007	胡萝卜	胡萝卜	根菜类
008	红萝卜	胡萝卜	根菜类
009	黄萝卜	胡萝卜	根菜类
010	丁香萝卜	胡萝卜	根菜类
011	樱桃萝卜	胡萝卜	根菜类
012	药性萝卜	胡萝卜	根菜类
013	番萝卜	胡萝卜	根菜类
014	芜菁	芜菁	根菜类
015	蔓菁	芜菁	根菜类
016	圆根	芜菁	根菜类
017	盘菜	芜菁	根菜类
018	芜菁甘蓝	芜菁甘蓝	根菜类
019	洋蔓菁	芜菁甘蓝	根菜类
020	洋疙瘩	芜菁甘蓝	根菜类
021	洋大头菜	芜菁甘蓝	根菜类
022	根菾菜	根菾菜	根菜类
023	红菜头	根菾菜	根菜类
024	紫菜头	根菾菜	根菜类
025	美洲防风	美洲防风	根菜类
026	欧防风芹菜萝卜	美洲防风	根菜类
027	蒲芹萝卜	美洲防风	根菜类
028	牛蒡	牛蒡	根菜类
029	东洋萝卜	牛蒡	根菜类
030	蝙蝠刺	牛蒡	根菜类
031	大力子	牛蒡	根菜类
032	根芹菜	根芹菜	根菜类
033	根洋芹菜	根芹菜	根菜类
034	球根塘蒿	根芹菜	根菜类
035	婆罗门参	婆罗门参	根菜类
036	西洋牛蒡	婆罗门参	根菜类
037	蒜叶婆罗门参	婆罗门参	根菜类
038	山葵	山葵	根菜类
039	黑婆罗门参	黑婆罗门参	根菜类
040	菊牛蒡	黑婆罗门参	根菜类
041	鸦葱	黑婆罗门参	根菜类
042	马铃薯	马铃薯	薯芋类
043	土豆	马铃薯	薯芋类
044	山药蛋	马铃薯	薯芋类
045	洋芋	马铃薯	薯芋类
046	地蛋	马铃薯	薯芋类
047	荷兰薯	马铃薯	薯芋类
048	爪哇薯	马铃薯	薯芋类
049	姜	姜	薯芋类
050	生姜	姜	薯芋类
051	黄姜	姜	薯芋类
052	芋	芋	薯芋类
053	芋头	芋	薯芋类
054	芋艿	芋	薯芋类
055	毛芋	芋	薯芋类
056	磨芋	魔芋	薯芋类
057	蒟蒻	魔芋	薯芋类
058	山药	山药	薯芋类
059	长毛山药	山药	薯芋类
060	铁棍山药	山药	薯芋类
061	白山药	山药	薯芋类
062	薯蓣	山药	薯芋类
063	白苕	山药	薯芋类
064	脚板苕	山药	薯芋类
065	山薯	山药	薯芋类
066	大薯	山药	薯芋类
067	佛掌薯	山药	薯芋类
068	甘薯	甘薯	薯芋类
069	紫薯	甘薯	薯芋类
070	红薯	甘薯	薯芋类
071	白薯	甘薯	薯芋类
072	地瓜	甘薯	薯芋类
073	番薯	甘薯	薯芋类
074	豆薯	豆薯	薯芋类
075	凉薯	豆薯	薯芋类
076	沙葛	豆薯	薯芋类
077	新罗葛	豆薯	薯芋类
078	葛	葛	薯芋类
079	菊芋	菊芋	薯芋类
080	洋姜	菊芋	薯芋类
081	鬼子姜	菊芋	薯芋类
082	菜用土圞儿	菜用土圞儿	薯芋类
083	香芋	菜用土圞儿	薯芋类
084	美洲土圞儿	菜用土圞儿	薯芋类
085	蕉藕	蕉芋	薯芋类
086	姜芋	蕉芋	薯芋类
087	蕉芋	蕉芋	薯芋类
088	食用美人蕉	蕉芋	薯芋类
089	食用莲蕉	蕉芋	薯芋类
090	草石蚕	草石蚕	薯芋类
091	螺丝菜	草石蚕	薯芋类
092	宝塔菜	草石蚕	薯芋类
093	甘露儿	草石蚕	薯芋类
094	地蚕	草石蚕	薯芋类
095	韭菜	韭	葱蒜类
096	草钟乳	韭	葱蒜类
097	起阳草	韭	葱蒜类
098	懒人菜	韭	葱蒜类
099	韭黄	韭	葱蒜类
100	大葱	大葱	葱蒜类
101	木葱	大葱	葱蒜类
102	汉葱	大葱	葱蒜类
103	洋葱	洋葱	葱蒜类
104	紫皮洋葱	洋葱	葱蒜类
105	葱头	洋葱	葱蒜类
106	圆葱	洋葱	葱蒜类
107	大蒜	大蒜	葱蒜类
108	胡蒜	大蒜	葱蒜类
109	蒜	大蒜	葱蒜类
110	蒜苔	蒜薹	葱蒜类
111	蒜苗	蒜苗	葱蒜类
112	蒜黄	蒜苗	葱蒜类
113	青蒜	蒜苗	葱蒜类
114	分葱	分葱	葱蒜类
115	四季葱	分葱	葱蒜类
116	菜葱	分葱	葱蒜类
117	冬葱	分葱	葱蒜类
118	胡葱	胡葱	葱蒜类
119	蒜头葱	胡葱	葱蒜类
120	瓣子葱	胡葱	葱蒜类
121	火葱	胡葱	葱蒜类
122	肉葱	胡葱	葱蒜类
123	细香葱	细香葱	葱蒜类
124	香葱	细香葱	葱蒜类
125	蝦夷葱	细香葱	葱蒜类
126	韭葱	韭葱	葱蒜类
127	扁葱	韭葱	葱蒜类
128	扁叶葱	韭葱	葱蒜类
129	洋蒜苗	韭葱	葱蒜类
130	楼葱	楼葱	葱蒜类
131	龙爪葱	楼葱	葱蒜类
132	龙角葱	楼葱	葱蒜类
133	蕹	蕹	葱蒜类
134	藠头	蕹	葱蒜类
135	藠子	蕹	葱蒜类
136	莱芝	蕹	葱蒜类
137	大白菜	大白菜	白菜类
138	快菜	大白菜	白菜类
139	奶白菜	大白菜	白菜类
140	结球白菜	大白菜	白菜类
141	黄芽菜	大白菜	白菜类
142	包心白菜	大白菜	白菜类
143	普通白菜	普通白菜	白菜类
144	白菜	普通白菜	白菜类
145	小白菜	普通白菜	白菜类
146	鸡毛菜	普通白菜	白菜类
147	油菜	普通白菜	白菜类
148	乌塌菜	乌塌菜	白菜类
149	榻菜	乌塌菜	白菜类
150	塌棵菜	乌塌菜	白菜类
151	榻地菘	乌塌菜	白菜类
152	黑菜	乌塌菜	白菜类
153	菜薹	菜薹	白菜类
154	菜苔	菜薹	白菜类
155	菜心	菜薹	白菜类
156	绿菜薹	菜薹	白菜类
157	绿菜苔	菜薹	白菜类
158	菜尖	菜薹	白菜类
159	薹菜	薹菜	白菜类
160	苔菜	薹菜	白菜类
161	红菜薹	紫菜薹	白菜类
162	红菜苔	紫菜薹	白菜类
163	茎芥	茎芥	芥菜类
164	茎瘤芥	茎芥	芥菜类
165	青菜头	茎芥	芥菜类
166	菜头	茎芥	芥菜类
167	包包菜	茎芥	芥菜类
168	羊角菜	茎芥	芥菜类
169	抱子芥	茎芥	芥菜类
170	儿菜	茎芥	芥菜类
171	娃娃菜	茎芥	芥菜类
172	笋子芥	茎芥	芥菜类
173	棒菜	茎芥	芥菜类
174	叶芥	叶芥	芥菜类
175	盖菜	叶芥	芥菜类
176	青菜	叶芥	芥菜类
177	苦菜	叶芥	芥菜类
178	苦菊	叶芥	芥菜类
179	春菜	叶芥	芥菜类
180	辣菜	叶芥	芥菜类
181	雪里蕻	叶芥	芥菜类
182	雪里红	叶芥	芥菜类
183	根芥	根芥	芥菜类
184	辣疙瘩	根芥	芥菜类
185	冲菜	根芥	芥菜类
186	芥头	根芥	芥菜类
187	大头菜	根芥	芥菜类
188	疙瘩菜	根芥	芥菜类
189	薹芥	薹芥	芥菜类
190	苔芥	薹芥	芥菜类
191	结球甘蓝	结球甘蓝	甘蓝类
192	紫甘蓝	结球甘蓝	甘蓝类
193	洋白菜	结球甘蓝	甘蓝类
194	卷心菜	结球甘蓝	甘蓝类
195	包心菜	结球甘蓝	甘蓝类
196	椰菜	结球甘蓝	甘蓝类
197	莲花白	结球甘蓝	甘蓝类
198	包包白	结球甘蓝	甘蓝类
199	圆白菜	结球甘蓝	甘蓝类
200	茴子白	结球甘蓝	甘蓝类
201	球茎甘蓝	球茎甘蓝	甘蓝类
202	苤蓝	球茎甘蓝	甘蓝类
203	菘	球茎甘蓝	甘蓝类
204	玉蔓菁	球茎甘蓝	甘蓝类
205	芥蓝头	球茎甘蓝	甘蓝类
206	擘蓝	球茎甘蓝	甘蓝类
207	花椰菜	花椰菜	甘蓝类
208	花菜	花椰菜	甘蓝类
209	菜花	花椰菜	甘蓝类
210	青花菜	青花菜	甘蓝类
211	木立花椰菜	青花菜	甘蓝类
212	意大利花椰菜	青花菜	甘蓝类
213	嫩茎花椰菜	青花菜	甘蓝类
214	绿菜花	青花菜	甘蓝类
215	西兰花	青花菜	甘蓝类
216	芥蓝	芥蓝	甘蓝类
217	芥兰	芥蓝	甘蓝类
218	白花芥蓝	芥蓝	甘蓝类
219	抱子甘蓝	抱子甘蓝	甘蓝类
220	芽甘蓝	抱子甘蓝	甘蓝类
221	子持甘蓝	抱子甘蓝	甘蓝类
222	羽衣甘蓝	羽衣甘蓝	甘蓝类
223	绿叶甘蓝	羽衣甘蓝	甘蓝类
224	菜用羽衣甘蓝	羽衣甘蓝	甘蓝类
225	叶牡丹	羽衣甘蓝	甘蓝类
226	花包菜	羽衣甘蓝	甘蓝类
227	菠菜	菠菜	叶菜类
228	菠稜菜	菠菜	叶菜类
229	赤根菜	菠菜	叶菜类
230	波斯草	菠菜	叶菜类
231	莴苣	莴苣	叶菜类
232	千金菜	莴苣	叶菜类
233	莴笋	莴苣	叶菜类
234	生菜	莴苣	叶菜类
235	青笋	莴苣	叶菜类
236	莴苣笋	莴苣	叶菜类
237	莴菜	莴苣	叶菜类
238	油麦菜	莴苣	叶菜类
239	莜麦菜	莴苣	叶菜类
240	芹菜	芹菜	叶菜类
241	芹	芹菜	叶菜类
242	药芹	芹菜	叶菜类
243	苦堇	芹菜	叶菜类
244	堇葵	芹菜	叶菜类
245	堇菜	芹菜	叶菜类
246	旱芹	芹菜	叶菜类
247	蕹菜	蕹菜	叶菜类
248	空心菜	蕹菜	叶菜类
249	竹叶菜	蕹菜	叶菜类
250	通菜	蕹菜	叶菜类
251	藤藤菜	蕹菜	叶菜类
252	蓊菜	蕹菜	叶菜类
253	苋菜	苋菜	叶菜类
254	绿苋菜	苋菜	叶菜类
255	红苋菜	苋菜	叶菜类
256	米苋	苋菜	叶菜类
257	赤苋	苋菜	叶菜类
258	刺苋	苋菜	叶菜类
259	青香苋	苋菜	叶菜类
260	苋	苋菜	叶菜类
261	叶菾菜	叶菾菜	叶菜类
262	莙荙菜	叶菾菜	叶菜类
263	牛皮菜	叶菾菜	叶菜类
264	厚皮菜	叶菾菜	叶菜类
265	光菜	叶菾菜	叶菜类
266	叶甜菜	叶菾菜	叶菜类
267	菊苣	菊苣	叶菜类
268	欧洲菊苣	菊苣	叶菜类
269	苞菜	菊苣	叶菜类
270	吉康菜	菊苣	叶菜类
271	法国莒荬菜	菊苣	叶菜类
272	冬寒菜	冬寒菜	叶菜类
273	冬苋菜	冬寒菜	叶菜类
274	冬葵	冬寒菜	叶菜类
275	葵菜	冬寒菜	叶菜类
276	滑肠菜	冬寒菜	叶菜类
277	落葵	落葵	叶菜类
278	木耳菜	落葵	叶菜类
279	软浆叶	落葵	叶菜类
280	软姜子	落葵	叶菜类
281	染浆叶	落葵	叶菜类
282	胭脂豆	落葵	叶菜类
283	豆腐菜	落葵	叶菜类
284	藤菜	落葵	叶菜类
285	紫果菜	落葵	叶菜类
286	茼蒿	茼蒿	叶菜类
287	菊花菜	茼蒿	叶菜类
288	蒿子秆	茼蒿	叶菜类
289	大叶茼蒿	茼蒿	叶菜类
290	蓬蒿	茼蒿	叶菜类
291	春菊	茼蒿	叶菜类
292	香菜	芫荽	叶菜类
293	芫荽	芫荽	叶菜类
294	胡荽	芫荽	叶菜类
295	香荽	芫荽	叶菜类
296	茴香	茴香	叶菜类
297	香丝菜	茴香	叶菜类
298	结球茴香	茴香	叶菜类
299	鲜茎茴香	茴香	叶菜类
300	甜茴香	茴香	叶菜类
301	菊花脑	菊花脑	叶菜类
302	菊花叶	菊花脑	叶菜类
303	黄菊籽	菊花脑	叶菜类
304	路边黄	菊花脑	叶菜类
305	黄菊仔	菊花脑	叶菜类
306	荠菜	荠菜	叶菜类
307	护生草	荠菜	叶菜类
308	菱角菜	荠菜	叶菜类
309	地米草	荠菜	叶菜类
310	扇子草	荠菜	叶菜类
311	菜苜蓿	菜苜蓿	叶菜类
