日期	类型	数量
2012/1/1	产品A	1481
2012/1/1	产品B	882
2012/1/1	产品C	1575
2012/1/2	产品B	900
2012/1/2	产品C	1532
2012/1/3	产品A	1561
2012/1/3	产品C	1551
2012/1/4	产品A	1282
2012/1/4	产品B	812
2012/1/4	产品C	1518
2012/1/5	产品B	880
2012/1/6	产品A	1516
2012/1/6	产品C	1564
2012/1/7	产品A	1530
2012/1/7	产品B	840
2012/1/7	产品C	1515
2012/1/8	产品A	1248
2012/1/8	产品B	993
2012/1/8	产品C	1530
2012/1/9	产品A	1538
2012/1/9	产品C	1589
2012/1/10	产品A	1498
2012/1/10	产品B	817
2012/1/10	产品C	1595
2012/1/11	产品A	1579
2012/1/11	产品B	822
2012/1/11	产品C	1531
2012/1/12	产品B	840
2012/1/12	产品C	1513
2012/1/13	产品A	1565
2012/1/13	产品B	840
2012/1/13	产品C	1501
2012/1/14	产品A	1463
2012/1/14	产品B	934
2012/1/14	产品C	1539
2012/1/15	产品A	1429
2012/1/15	产品B	819
2012/1/16	产品A	1231
2012/1/17	产品A	1354
2012/1/17	产品B	911
2012/1/17	产品C	1537
2012/1/18	产品A	1264
2012/1/18	产品B	946
2012/1/18	产品C	1588
2012/1/19	产品A	1566
2012/1/19	产品B	954
2012/1/19	产品C	1584
2012/1/20	产品A	1576
2012/1/20	产品B	855
2012/1/21	产品A	1544
2012/1/21	产品B	891
2012/1/21	产品C	1545
2012/1/22	产品A	1349
2012/1/22	产品B	986
2012/1/22	产品C	1579
2012/1/23	产品A	1556
2012/1/23	产品B	983
2012/1/23	产品C	1518
2012/1/24	产品B	889
2012/1/24	产品C	1593
2012/1/25	产品A	1264
2012/1/25	产品B	993
2012/1/25	产品C	1583
2012/1/26	产品A	1583
2012/1/26	产品C	1559
2012/1/27	产品A	1524
2012/1/27	产品B	874
2012/1/27	产品C	1567
2012/1/28	产品B	984
2012/1/28	产品C	1579
2012/1/29	产品A	1216
2012/1/30	产品A	1532
2012/1/30	产品B	888
2012/1/30	产品C	1532
2012/1/31	产品A	1285
2012/1/31	产品B	910
2012/1/31	产品C	1537
2012/2/1	产品C	1535
2012/2/2	产品A	1407
2012/2/2	产品C	1509
2012/2/3	产品A	1519
2012/2/3	产品B	917
2012/2/4	产品A	1564
2012/2/4	产品B	997
2012/2/5	产品A	1297
2012/2/6	产品A	1255
2012/2/6	产品B	901
2012/2/6	产品C	1505
2012/2/7	产品A	1282
2012/2/7	产品B	933
2012/2/7	产品C	1482
2012/2/8	产品A	1298
2012/2/8	产品B	1015
2012/2/8	产品C	1461
2012/2/9	产品A	1524
2012/2/9	产品B	1090
2012/2/9	产品C	1471
2012/2/10	产品B	1099
2012/2/11	产品B	908
2012/2/11	产品C	1455
2012/2/12	产品B	1088
2012/2/12	产品C	1460
2012/2/13	产品B	1003
2012/2/13	产品C	1479
2012/2/14	产品A	1252
2012/2/14	产品B	999
2012/2/14	产品C	1549
2012/2/15	产品B	946
2012/2/15	产品C	1528
2012/2/16	产品A	1343
2012/2/16	产品B	1008
2012/2/16	产品C	1546
2012/2/17	产品A	1389
2012/2/17	产品B	1027
2012/2/17	产品C	1515
2012/2/18	产品B	904
2012/2/18	产品C	1471
2012/2/19	产品A	1446
2012/2/19	产品C	1533
2012/2/20	产品B	981
2012/2/21	产品B	930
2012/2/21	产品C	1451
2012/2/22	产品B	1068
2012/2/22	产品C	1472
2012/2/23	产品A	1450
2012/2/23	产品B	1025
2012/2/23	产品C	1473
2012/2/24	产品A	1346
2012/2/24	产品B	940
2012/2/24	产品C	1533
2012/2/25	产品A	1329
2012/2/25	产品B	938
2012/2/26	产品A	1435
2012/2/26	产品C	1516
2012/2/27	产品A	1341
2012/2/27	产品B	960
2012/2/28	产品A	1454
2012/2/28	产品B	1041
2012/2/29	产品A	1415
2012/2/29	产品B	1004
2012/2/29	产品C	1542
2012/3/1	产品A	1541
2012/3/1	产品B	1036
2012/3/2	产品A	1411
2012/3/2	产品B	1106
2012/3/2	产品C	1443
2012/3/3	产品A	1540
2012/3/3	产品C	1431
2012/3/4	产品A	1534
2012/3/4	产品B	1100
2012/3/5	产品A	1528
2012/3/5	产品B	1105
2012/3/5	产品C	1489
2012/3/6	产品A	1530
2012/3/6	产品B	1000
2012/3/6	产品C	1439
2012/3/7	产品A	1452
2012/3/7	产品B	1139
2012/3/8	产品A	1251
2012/3/8	产品C	1451
2012/3/9	产品B	1136
2012/3/9	产品C	1479
2012/3/10	产品A	1514
2012/3/10	产品B	1158
2012/3/10	产品C	1417
2012/3/11	产品A	1332
2012/3/11	产品C	1424
2012/3/12	产品B	1081
2012/3/13	产品A	1333
2012/3/13	产品B	1040
2012/3/13	产品C	1457
2012/3/14	产品A	1445
2012/3/14	产品B	1110
2012/3/14	产品C	1492
2012/3/16	产品B	1110
2012/3/16	产品C	1432
2012/3/17	产品B	1056
2012/3/17	产品C	1405
2012/3/18	产品A	1369
2012/3/18	产品B	1118
2012/3/18	产品C	1400
2012/3/19	产品B	1174
2012/3/19	产品C	1452
2012/3/20	产品A	1556
2012/3/20	产品B	1141
2012/3/20	产品C	1439
2012/3/21	产品A	1508
2012/3/21	产品B	1097
2012/3/23	产品A	1578
2012/3/23	产品B	1149
2012/3/23	产品C	1427
2012/3/24	产品B	1159
2012/3/24	产品C	1423
2012/3/25	产品A	1590
2012/3/25	产品B	1169
2012/3/25	产品C	1466
2012/3/26	产品A	1527
2012/3/26	产品B	1117
2012/3/26	产品C	1440
2012/3/27	产品B	1163
2012/3/27	产品C	1457
2012/3/28	产品A	1337
2012/3/28	产品C	1456
2012/3/29	产品A	1480
2012/3/29	产品B	1011
2012/3/29	产品C	1425
2012/3/30	产品A	1563
2012/3/30	产品C	1476
2012/3/31	产品A	1521
2012/3/31	产品B	1012
2012/3/31	产品C	1481
2012/4/1	产品A	1542
2012/4/1	产品B	1235
2012/4/1	产品C	1427
2012/4/2	产品A	1443
2012/4/2	产品B	1245
2012/4/2	产品C	1362
2012/4/3	产品A	1301
2012/4/3	产品B	1238
2012/4/4	产品A	1242
2012/4/4	产品C	1449
2012/4/5	产品A	1481
2012/4/5	产品B	1293
2012/4/5	产品C	1357
2012/4/6	产品B	1203
2012/4/6	产品C	1416
2012/4/7	产品A	1343
2012/4/7	产品B	1285
2012/4/7	产品C	1448
2012/4/8	产品A	1206
2012/4/8	产品C	1410
2012/4/9	产品B	1226
2012/4/9	产品C	1450
2012/4/10	产品B	1291
2012/4/10	产品C	1407
2012/4/11	产品B	1103
2012/4/11	产品C	1415
2012/4/12	产品A	1206
2012/4/12	产品B	1291
2012/4/13	产品B	1152
2012/4/13	产品C	1369
2012/4/14	产品A	1587
2012/4/14	产品B	1166
2012/4/14	产品C	1413
2012/4/15	产品A	1572
2012/4/16	产品A	1299
2012/4/16	产品B	1190
2012/4/16	产品C	1410
2012/4/17	产品B	1122
2012/4/17	产品C	1436
2012/4/18	产品A	1513
2012/4/18	产品B	1213
2012/4/18	产品C	1421
2012/4/19	产品A	1396
2012/4/19	产品B	1247
2012/4/19	产品C	1378
2012/4/20	产品C	1436
2012/4/21	产品A	1362
2012/4/21	产品B	1210
2012/4/21	产品C	1385
2012/4/22	产品B	1230
2012/4/23	产品A	1349
2012/4/23	产品B	1188
2012/4/23	产品C	1390
2012/4/24	产品A	1335
2012/4/24	产品B	1125
2012/4/24	产品C	1391
2012/4/25	产品C	1428
2012/4/26	产品A	1545
2012/4/26	产品B	1114
2012/4/27	产品A	1421
2012/4/27	产品B	1275
2012/4/27	产品C	1441
2012/4/28	产品A	1282
2012/4/29	产品A	1279
2012/4/29	产品B	1142
2012/4/29	产品C	1415
2012/4/30	产品C	1447
2012/5/1	产品A	1227
2012/5/1	产品B	1300
2012/5/1	产品C	1353
2012/5/2	产品A	1364
2012/5/2	产品B	1293
2012/5/3	产品A	1438
2012/5/3	产品B	1364
2012/5/3	产品C	1389
2012/5/4	产品A	1451
2012/5/4	产品B	1239
2012/5/4	产品C	1383
2012/5/5	产品A	1417
2012/5/5	产品B	1303
2012/5/6	产品A	1201
2012/5/6	产品B	1356
2012/5/6	产品C	1335
2012/5/7	产品A	1548
2012/5/7	产品C	1341
2012/5/8	产品A	1433
2012/5/8	产品B	1286
2012/5/8	产品C	1363
2012/5/9	产品A	1599
2012/5/9	产品B	1307
2012/5/9	产品C	1360
2012/5/10	产品A	1512
2012/5/10	产品B	1267
2012/5/10	产品C	1363
2012/5/11	产品A	1395
2012/5/11	产品B	1388
2012/5/11	产品C	1389
2012/5/12	产品C	1400
2012/5/13	产品A	1377
2012/5/13	产品B	1250
2012/5/13	产品C	1309
2012/5/14	产品B	1331
2012/5/14	产品C	1333
2012/5/15	产品A	1293
2012/5/15	产品B	1369
2012/5/16	产品A	1441
2012/5/16	产品B	1221
2012/5/16	产品C	1388
2012/5/17	产品A	1269
2012/5/17	产品B	1336
2012/5/17	产品C	1315
2012/5/18	产品A	1397
2012/5/18	产品B	1264
2012/5/19	产品B	1243
2012/5/20	产品A	1318
2012/5/20	产品B	1232
2012/5/20	产品C	1332
2012/5/21	产品A	1308
2012/5/21	产品B	1399
2012/5/21	产品C	1329
2012/5/22	产品A	1588
2012/5/22	产品B	1264
2012/5/22	产品C	1307
2012/5/23	产品A	1291
2012/5/23	产品C	1303
2012/5/24	产品A	1402
2012/5/24	产品B	1263
2012/5/24	产品C	1359
2012/5/25	产品A	1516
2012/5/25	产品B	1360
2012/5/26	产品A	1366
